CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-1-1,31,26,20,22,17,11,72,66,53,30.27,30.21,30.14,10,10,6,24,15,30,T,5,Snow,250
2016-1-2,33,28,22,23,19,16,78,66,52,30.17,30.09,29.98,10,10,10,22,12,30,0.00,1,,251
2016-1-3,31,28,24,21,18,15,72,63,45,30.32,30.18,29.99,10,10,10,21,12,26,T,6,Snow,318
2016-1-4,32,29,25,20,17,15,69,61,42,30.58,30.47,30.32,10,10,3,22,11,29,T,6,Snow,360
2016-1-5,34,28,21,21,18,12,81,66,46,30.61,30.51,30.40,10,10,10,17,9,24,0.00,3,,183
2016-1-6,39,32,25,26,21,17,72,61,45,30.39,30.30,30.21,10,10,10,15,8,21,0.00,7,,187
2016-1-7,43,40,36,29,25,23,65,55,40,30.19,30.09,29.97,10,10,10,10,7,19,T,8,,145
2016-1-8,46,43,39,42,39,29,93,85,61,29.94,29.78,29.71,10,4,1,12,7,19,0.18,8,Rain,164
2016-1-9,44,36,27,41,33,21,93,87,78,29.87,29.80,29.74,10,3,0,25,10,30,0.27,8,Rain-Snow,312
2016-1-10,27,16,4,19,5,-6,78,66,49,30.16,30.00,29.78,10,10,7,26,18,36,T,5,Snow,288
2016-1-11,26,14,2,21,9,-7,81,72,52,30.19,29.93,29.68,10,5,1,29,11,39,0.06,6,Snow,215
2016-1-12,22,14,5,12,2,-5,71,61,38,30.27,29.98,29.69,10,8,2,29,16,37,T,4,Snow,282
2016-1-13,29,16,2,20,5,-6,76,67,52,30.28,30.07,29.84,10,10,8,18,9,26,T,5,Snow,219
2016-1-14,45,37,28,37,29,21,79,69,52,29.81,29.68,29.55,10,10,10,21,11,26,0.00,5,,202
2016-1-15,43,38,32,37,33,24,86,78,67,29.68,29.48,29.39,10,8,3,21,13,25,0.02,8,Rain-Snow,245
2016-1-16,32,23,14,23,16,-1,69,60,45,30.02,29.87,29.65,10,10,10,23,13,27,0.00,5,,296
2016-1-17,14,8,1,-3,-9,-12,61,52,31,30.31,30.16,30.04,10,10,9,25,16,31,T,3,,290
2016-1-18,10,4,-2,-6,-10,-13,61,52,30,30.45,30.37,30.31,10,10,10,18,12,24,0.00,1,,279
2016-1-19,18,10,2,4,-3,-9,64,51,28,30.61,30.52,30.44,10,10,10,13,6,17,0.00,4,,235
2016-1-20,25,19,13,13,11,5,81,70,50,30.41,30.31,30.21,10,7,1,12,3,14,0.03,6,Snow,240
2016-1-21,32,24,16,17,14,10,81,67,40,30.44,30.38,30.31,10,9,8,8,3,10,0.00,6,,206
2016-1-22,32,27,21,23,19,13,78,67,33,30.32,30.27,30.24,10,7,2,20,11,28,0.01,7,Snow,30
2016-1-23,35,30,24,24,20,17,78,67,38,30.27,30.21,30.10,10,9,7,12,6,17,T,6,Snow,299
2016-1-24,37,31,24,26,20,14,76,64,47,30.09,30.01,29.96,10,10,7,17,8,24,0.00,6,,203
2016-1-25,43,36,29,38,29,21,89,73,55,29.96,29.78,29.63,10,7,2,28,11,36,0.06,8,Rain,184
2016-1-26,38,33,27,32,23,16,89,71,48,30.26,30.02,29.69,10,9,3,26,16,36,T,7,Snow,265
2016-1-27,35,31,26,24,18,13,70,59,38,30.30,30.15,29.83,10,10,9,25,13,33,T,7,Snow,232
2016-1-28,41,36,31,29,25,15,75,64,43,29.88,29.74,29.66,10,10,8,23,15,30,T,6,Rain-Snow,286
2016-1-29,37,31,24,25,15,11,62,50,23,30.06,29.93,29.72,10,10,10,18,11,27,0.00,5,,207
2016-1-30,49,43,36,36,32,26,79,67,47,29.73,29.69,29.65,10,10,9,21,9,26,T,6,,217
2016-1-31,49,42,34,46,39,31,90,85,72,29.87,29.63,29.47,10,8,5,18,9,24,0.02,7,Rain,235
2016-2-1,47,39,31,31,29,26,92,74,41,30.14,30.04,29.89,10,10,7,8,5,11,0.00,4,,250
