HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-1-1,84,74,63,66,62,57,87,69,51,30.10,30.05,30.00,10,10,7,24,7,30,T,3,,354
2016-1-2,81,74,66,61,58,57,76,62,48,30.15,30.09,30.04,10,10,10,17,7,22,0.00,2,,38
2016-1-3,80,72,63,62,60,57,87,68,48,30.16,30.10,30.06,10,10,10,14,4,20,0.00,3,,342
2016-1-4,81,72,63,60,58,57,78,62,45,30.15,30.11,30.04,10,10,10,16,5,21,0.00,3,,8
2016-1-5,82,75,67,66,63,60,87,71,54,30.15,30.11,30.05,10,10,10,22,10,28,T,4,,47
2016-1-6,81,76,71,68,66,64,84,71,58,30.11,30.06,29.98,10,10,10,17,8,22,T,5,,59
2016-1-7,84,76,67,67,65,62,90,69,48,30.10,30.05,29.99,10,10,10,13,4,18,T,2,,13
2016-1-8,80,73,66,69,66,63,93,80,67,30.07,30.00,29.92,10,10,10,12,5,16,0.00,3,,223
2016-1-9,84,77,69,69,66,61,82,65,47,29.99,29.94,29.87,10,10,10,18,9,26,T,4,Rain,269
2016-1-10,81,74,67,67,65,64,87,73,58,30.02,29.97,29.91,10,10,10,13,5,16,0.00,3,,284
2016-1-11,80,73,66,64,63,60,87,71,54,30.07,30.02,29.97,10,10,10,8,4,13,0.00,5,,335
2016-1-12,81,74,66,67,65,60,87,71,54,30.10,30.04,29.96,10,10,9,12,4,14,0.00,2,,252
2016-1-13,80,73,65,66,64,62,87,73,58,30.07,30.03,29.96,10,10,9,10,4,14,0.00,1,,299
2016-1-14,81,73,65,66,65,62,93,76,58,30.06,29.99,29.92,10,10,8,18,6,23,0.00,1,,262
2016-1-15,81,75,68,69,66,64,84,76,67,30.03,29.96,29.89,10,10,8,13,4,16,0.00,4,,291
2016-1-16,80,73,65,66,65,64,93,78,62,30.06,30.00,29.95,10,10,7,13,4,16,T,3,Rain,149
2016-1-17,80,73,66,65,64,63,87,73,58,30.10,30.04,29.97,10,10,10,12,4,15,T,2,,342
2016-1-18,84,75,66,66,63,55,87,64,40,30.16,30.08,30.01,10,10,10,13,4,15,0.00,2,,320
2016-1-19,80,72,63,64,62,60,87,71,54,30.10,30.05,29.99,10,10,10,12,6,15,0.00,1,,299
2016-1-20,79,73,66,67,65,63,87,75,62,30.09,30.03,29.97,10,10,9,15,5,21,T,4,Rain,327
2016-1-21,81,74,67,64,61,58,81,65,48,30.11,30.05,29.99,10,10,10,15,7,18,0.00,2,,2
2016-1-22,83,74,65,65,63,61,87,71,54,30.10,30.06,30.00,10,10,10,18,6,22,0.00,2,,20
2016-1-23,82,75,68,68,65,62,84,71,58,30.12,30.07,30.01,10,10,10,15,5,17,0.00,3,,231
2016-1-24,81,75,69,70,67,64,84,73,62,30.11,30.06,30.00,10,10,7,14,5,16,0.00,3,,281
2016-1-25,82,77,71,71,68,67,87,77,67,30.06,30.02,29.95,10,10,7,15,5,18,0.03,4,Rain,89
2016-1-26,81,76,71,69,68,67,90,79,67,30.06,30.01,29.94,10,10,10,12,5,15,0.00,4,,231
2016-1-27,81,75,69,69,68,66,90,76,62,30.08,30.04,29.99,10,8,6,10,3,14,0.00,3,,154
2016-1-28,83,76,68,69,65,63,84,69,54,30.10,30.05,30.01,10,9,7,15,5,20,0.00,3,,279
2016-1-29,81,76,70,68,66,64,84,71,58,30.12,30.07,30.02,10,10,7,13,4,16,0.00,2,,240
2016-1-30,84,76,67,66,64,60,87,69,51,30.10,30.06,30.00,10,10,10,15,6,23,0.00,2,,332
2016-1-31,85,77,69,66,64,60,84,66,47,30.12,30.08,30.01,10,10,10,17,7,23,0.00,3,,42
2016-2-1,83,76,69,66,65,63,90,73,55,30.12,30.07,30.01,10,10,10,13,5,17,T,4,,5
2016-2-2,84,77,69,68,65,62,84,68,51,30.12,30.06,29.97,10,9,2,17,9,23,0.08,4,Rain,17
2016-2-3,85,78,70,67,64,61,84,64,44,30.08,30.02,29.96,10,10,10,17,8,22,T,3,,50
2016-2-4,83,76,68,66,64,60,84,66,47,30.05,30.00,29.96,10,10,10,13,6,17,0.00,2,,40
2016-2-5,82,76,70,70,67,64,84,71,58,30.05,30.00,29.94,10,10,10,14,5,16,T,5,,334
2016-2-6,79,75,70,69,66,61,79,73,67,30.02,29.97,29.91,10,10,9,20,7,24,T,6,Rain,300
2016-2-7,79,72,64,61,53,46,73,53,33,30.08,30.02,29.97,10,10,8,22,11,29,0.00,3,,348
2016-2-8,80,70,59,57,54,50,78,59,39,30.07,30.01,29.94,10,10,10,14,6,17,0.00,2,,323
2016-2-9,79,70,61,60,57,54,84,65,45,30.09,30.04,29.99,10,10,10,13,6,16,0.00,1,,280
2016-2-10,79,71,63,61,60,58,87,69,50,30.11,30.06,30.00,10,10,10,13,6,15,0.00,2,,306
2016-2-11,86,76,65,64,62,60,81,63,44,30.10,30.05,30.00,10,10,10,18,8,23,0.00,3,,22
2016-2-12,84,78,71,66,64,62,79,65,51,30.08,30.02,29.97,10,10,10,18,8,23,T,3,,90
2016-2-13,87,79,70,69,66,64,84,70,55,30.10,30.05,29.98,10,10,10,18,8,25,0.00,3,,71
2016-2-14,86,79,72,67,65,61,79,62,44,30.12,30.06,30.01,10,10,10,22,10,30,0.00,3,,65
